Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Crépeau, M., Jégo, G., Morissette, R., Pattey, E., Morrison, M.J.","56418232300;23767941600;24830874700;7003533081;7201675270;","Predictions of soybean harvest index evolution and evapotranspiration using STICS crop model",2021,"Agronomy Journal","113","4",,"3281","3298",,,"10.1002/agj2.20765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111146216&doi=10.1002%2fagj2.20765&partnerID=40&md5=79ff8d0b9c16906560e36a95126ca10b",Article,"Final","",Scopus,2-s2.0-85111146216
"Beaudoin, N., Venet, E., Maucorps, J., Vandenberghe, C., Pugeaux, N., Viennot, P., Gourcy, L., Brayer, C., Machet, J.M., Couturier, A., Billy, C., Vigour, N., Hulin, G., Dorel, G., Mary, B.","15071436000;57204685811;6508183444;35764100900;57222183582;16041070900;6508351323;57222191199;7004087987;7004172489;25648932700;57222184298;57222183990;57222184175;56235628300;","Long term response of water and nitrogen fluxes to Good Agricultural Practices at field and catchment scales",2021,"Science of the Total Environment","776",,"145954","","",,,"10.1016/j.scitotenv.2021.145954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101795059&doi=10.1016%2fj.scitotenv.2021.145954&partnerID=40&md5=683aafb9d7377e05c8beacbd26302d89",Article,"Final","",Scopus,2-s2.0-85101795059
"Morvan, T., Lambert, Y., Germain, P., Beff, L.","6602408171;57221808073;57221802774;55489817200;","A dataset from a 3-year network of field measurements of soil organic nitrogen mineralization under a mild oceanic temperate climate",2021,"Data in Brief","35",,"106795","","",,,"10.1016/j.dib.2021.106795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100270950&doi=10.1016%2fj.dib.2021.106795&partnerID=40&md5=35985376d90f57712c0c0c5f5ef09dee",Data Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85100270950
"Shao, Z., Zhao, X., Gao, X., Wang, S., Wang, X., Wu, P.","57221556016;8673647100;7403872753;57202822610;35188052000;12764777600;","Assessing ecosystem services in apple orchard in the Loess Plateau based on STICS model",2021,"Shengtai Xuebao","41","6",,"2212","2224",,,"10.5846/stxb202005101165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103763648&doi=10.5846%2fstxb202005101165&partnerID=40&md5=b006fc247558559f29b9d2136229a8d1",Article,"Final","",Scopus,2-s2.0-85103763648
"Bhouri Khila, S., Douh, B., Mguidiche, A., Boujelben, A.","57339412100;55894303100;56491160900;35304562000;","Assessing the Water Productivity of Durum Wheat in Tunisian Semi-Arid Conditions",2021,"Springer Water",,,,"195","211",,,"10.1007/978-3-030-74660-5_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119111394&doi=10.1007%2f978-3-030-74660-5_9&partnerID=40&md5=5499392dca47f7965028e42253872a4c",Book Chapter,"Final","",Scopus,2-s2.0-85119111394
"Morvan, T., Lemoine, C., Gaillard, F., Hamelin, G., Trinkler, B., Carteaux, L., Petitjean, P., Jaffrezic, A.","6602408171;57218290708;57218290211;57190677815;56418660600;6504828829;19337811900;7801321659;","A comprehensive dataset on nitrate, Nitrite and dissolved organic carbon leaching losses from a 4-year Lysimeter study",2020,"Data in Brief","32",,"106029","","",,,"10.1016/j.dib.2020.106029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088653667&doi=10.1016%2fj.dib.2020.106029&partnerID=40&md5=f913540d413d9b87a95b6ed9b5799ec0",Data Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85088653667
"Lammoglia, S.K., Chanzy, A., Guerif, M.","57189364250;7004306869;6701782386;","Characterizing soil hydraulic properties from Sentinel 2 and STICS crop model",2019,"2019 IEEE International Workshop on Metrology for Agriculture and Forestry, MetroAgriFor 2019 - Proceedings",,,"8909266","312","316",,,"10.1109/MetroAgriFor.2019.8909266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076338248&doi=10.1109%2fMetroAgriFor.2019.8909266&partnerID=40&md5=cb6d274dda6633dec5f361de88c469f4",Conference Paper,"Final","",Scopus,2-s2.0-85076338248
"Courault, D., Demarez, V., Hossard, L., Flamain, F., Ndikumana, E., Tong Minh, D.H., Baghdadi, N., Ruget, F.","6603818863;6601953572;26532629200;6505528542;57200500772;57192113111;7003754050;6602167020;","Comparison of Two Modeling Approaches to Simulate Rice Production in the Camargue Region Using Sentinel 2 Data",2019,"International Geoscience and Remote Sensing Symposium (IGARSS)",,,"8899124","7243","7246",,,"10.1109/IGARSS.2019.8899124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077677626&doi=10.1109%2fIGARSS.2019.8899124&partnerID=40&md5=b542dcbbb39fa1335ab3cb4cc51ca532",Conference Paper,"Final","",Scopus,2-s2.0-85077677626
"Aghajanzadeh-Darzi, P., Jayet, P.-A.","57044847700;6603173511;","Economic impact of climate change on animal nutrition and livestock farming in the European Union [Impact économique du changement climatique sur l'alimentation animale et l'élevage dans l'Union Européenne]",2013,"Fourrages","2013","215",,"193","200",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050160457&partnerID=40&md5=03aa147fb45527cfc8bdf74765fc67e0",Article,"Final","",Scopus,2-s2.0-85050160457
"Ramos, M.R., Vázquez, N., Gabriel, J.L., Quemada, M.","12753040900;8579149800;37037213700;56109976200;","Impact of cropping system management on groundwater pollution in a “nitrate vulnerable zone” of Spain",2008,"Italian Journal of Agronomy","3","3",,"121","122",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979763286&partnerID=40&md5=93ef2363b9af051574d1c75343f9b4fe",Conference Paper,"Final","",Scopus,2-s2.0-84979763286
