"plant","parameter","original_value","optimized_value","is_optimized"
"barley-remi_plt.xml","stlevamf","c(380, 380)","c(380, 380)",FALSE
"barley-remi_plt.xml","stlevdrp","c(650, 850)","c(650, 850)",FALSE
"barley-remi_plt.xml","stamflax","c(240, 300)","c(240, 300)",FALSE
"barley-remi_plt.xml","stdrpmat","c(800, 730)","c(800, 730)",FALSE
"barley-remi_plt.xml","stdrpdes","c(700, 500)","c(700, 500)",FALSE
"barley-remi_plt.xml","dlaimaxbrut","0.00028","0.00028",FALSE
"barley-remi_plt.xml","vlaimax","2","2",FALSE
"barley-remi_plt.xml","pentlaimax","6","6",FALSE
"barley-remi_plt.xml","durvieF","c(200, 155)","c(200, 155)",FALSE
"barley-remi_plt.xml","ktrou","1.95","1.95",FALSE
"barley-remi_plt.xml","rapforme","3","3",FALSE
"barley-remi_plt.xml","fixmaxveg","30","30",FALSE
"barley-remi_plt.xml","fixmaxgr","9.5","9.5",FALSE
"barley-remi_plt.xml","Vmax2","0.0205","0.0205",FALSE
"barley-remi_plt.xml","inngrain2","1.18","1.18",FALSE
"barley-remi_plt.xml","innturgmin","0.28","0.28",FALSE
"barley-remi_plt.xml","innsen","0.151","0.151",FALSE
"barley-remi_plt.xml","rsmin","137","137",FALSE
"barley-remi_plt.xml","efcroijuv","2.05","2.05",FALSE
"barley-remi_plt.xml","efcroiveg","3.24","3.24",FALSE
"barley-remi_plt.xml","efcroirepro","2.37","2.37",FALSE
"barley-remi_plt.xml","cgrain","0.01928","0.01928",FALSE
"barley-remi_plt.xml","nbgrmin","2881","2881",FALSE
"barley-remi_plt.xml","vitircarbT","0.000792","0.000792",FALSE
"barley-remi_plt.xml","vitirazo","0.01842","0.01842",FALSE
"pea-remi_plt.xml","stlevamf","310","310",FALSE
"pea-remi_plt.xml","stlevdrp","880","846.033634255374",TRUE
"pea-remi_plt.xml","stamflax","430","416.096913122705",TRUE
"pea-remi_plt.xml","stdrpmat","720","731.35471370936",TRUE
"pea-remi_plt.xml","stdrpdes","490","490",FALSE
"pea-remi_plt.xml","dlaimaxbrut","0.00028","0.000401188210768547",TRUE
"pea-remi_plt.xml","vlaimax","2.2","2.5",TRUE
"pea-remi_plt.xml","pentlaimax","5.5","3",TRUE
"pea-remi_plt.xml","durvieF","137","153.497279921014",TRUE
"pea-remi_plt.xml","ktrou","1.313","1.9",TRUE
"pea-remi_plt.xml","rapforme","3","2",TRUE
"pea-remi_plt.xml","fixmaxveg","22","22.7291416970547",TRUE
"pea-remi_plt.xml","fixmaxgr","18","30.8768771176359",TRUE
"pea-remi_plt.xml","Vmax2","0.0085","0.00614121658824144",TRUE
"pea-remi_plt.xml","inngrain2","1.28","1.49857027996331",TRUE
"pea-remi_plt.xml","innturgmin","0.525","0.120264792438271",TRUE
"pea-remi_plt.xml","innsen","0.417","0.763056090714216",TRUE
"pea-remi_plt.xml","rsmin","102","259.165280415068",TRUE
"pea-remi_plt.xml","efcroijuv","2","2.03441270985969",TRUE
"pea-remi_plt.xml","efcroiveg","3.2","3.23365175340824",TRUE
"pea-remi_plt.xml","efcroirepro","2.1","2.14166947419866",TRUE
"pea-remi_plt.xml","cgrain","0.0612","0.138116003309842",TRUE
"pea-remi_plt.xml","nbgrmin","300","1540.42755463826",TRUE
"pea-remi_plt.xml","vitircarbT","0.00112","0.001",TRUE
"pea-remi_plt.xml","vitirazo","0.0365","0.0308543168868782",TRUE
"Pea_Eric_plt.xml","stlevamf","310","292.364467421014",TRUE
"Pea_Eric_plt.xml","stlevdrp","845","798.304142067874",TRUE
"Pea_Eric_plt.xml","stamflax","400","359.260975622705",TRUE
"Pea_Eric_plt.xml","stdrpmat","505","499.59201839686",TRUE
"Pea_Eric_plt.xml","stdrpdes","490","372.063116912198",TRUE
"Pea_Eric_plt.xml","dlaimaxbrut","0.000225","0.00026438275812911",TRUE
"Pea_Eric_plt.xml","vlaimax","2.2","2.5",TRUE
"Pea_Eric_plt.xml","pentlaimax","5.5","3",TRUE
"Pea_Eric_plt.xml","durvieF","137","137.242926515527",TRUE
"Pea_Eric_plt.xml","ktrou","1.313","1.313",FALSE
"Pea_Eric_plt.xml","rapforme","3","3",FALSE
"Pea_Eric_plt.xml","fixmaxveg","17.6","21.087193084282",TRUE
"Pea_Eric_plt.xml","fixmaxgr","13.1","5",TRUE
"Pea_Eric_plt.xml","Vmax2","0.0085","0.00992218104529108",TRUE
"Pea_Eric_plt.xml","inngrain2","1.28","0.8",TRUE
"Pea_Eric_plt.xml","innturgmin","0.525","0.0153756261186808",TRUE
"Pea_Eric_plt.xml","innsen","0.417","0.315593079461027",TRUE
"Pea_Eric_plt.xml","rsmin","102","299.707319226363",TRUE
"Pea_Eric_plt.xml","efcroijuv","2","2.92602211802941",TRUE
"Pea_Eric_plt.xml","efcroiveg","3.2","2.98884256063816",TRUE
"Pea_Eric_plt.xml","efcroirepro","2.1","2.51739185214522",TRUE
"Pea_Eric_plt.xml","cgrain","0.0612","0.264014640150318",TRUE
"Pea_Eric_plt.xml","nbgrmin","300","1240.28284412343",TRUE
"Pea_Eric_plt.xml","vitircarbT","0.00112","0.00149152824275994",TRUE
"Pea_Eric_plt.xml","vitirazo","0.0365","0.0421573226475157",TRUE
"xml_4_Pea_Eric_plt.xml","stlevamf","310","310",FALSE
"xml_4_Pea_Eric_plt.xml","stlevdrp","845","845",FALSE
"xml_4_Pea_Eric_plt.xml","stamflax","400","400",FALSE
"xml_4_Pea_Eric_plt.xml","stdrpmat","505","505",FALSE
"xml_4_Pea_Eric_plt.xml","stdrpdes","490","490",FALSE
"xml_4_Pea_Eric_plt.xml","dlaimaxbrut","0.000225","0.000225",FALSE
"xml_4_Pea_Eric_plt.xml","vlaimax","2.2","2.2",FALSE
"xml_4_Pea_Eric_plt.xml","pentlaimax","5.5","5.5",FALSE
"xml_4_Pea_Eric_plt.xml","durvieF","137","137",FALSE
"xml_4_Pea_Eric_plt.xml","ktrou","1.313","1.313",FALSE
"xml_4_Pea_Eric_plt.xml","rapforme","3","3",FALSE
"xml_4_Pea_Eric_plt.xml","fixmaxveg","17.6","17.6",FALSE
"xml_4_Pea_Eric_plt.xml","fixmaxgr","13.1","13.1",FALSE
"xml_4_Pea_Eric_plt.xml","Vmax2","0.0085","0.0085",FALSE
"xml_4_Pea_Eric_plt.xml","inngrain2","1.28","1.28",FALSE
"xml_4_Pea_Eric_plt.xml","innturgmin","0.525","0.525",FALSE
"xml_4_Pea_Eric_plt.xml","innsen","0.417","0.417",FALSE
"xml_4_Pea_Eric_plt.xml","rsmin","102","102",FALSE
"xml_4_Pea_Eric_plt.xml","efcroijuv","2","2",FALSE
"xml_4_Pea_Eric_plt.xml","efcroiveg","3.2","3.2",FALSE
"xml_4_Pea_Eric_plt.xml","efcroirepro","2.1","2.1",FALSE
"xml_4_Pea_Eric_plt.xml","cgrain","0.0612","0.0612",FALSE
"xml_4_Pea_Eric_plt.xml","nbgrmin","300","300",FALSE
"xml_4_Pea_Eric_plt.xml","vitircarbT","0.00112","0.00112",FALSE
"xml_4_Pea_Eric_plt.xml","vitirazo","0.0365","0.0365",FALSE
"Wheat_Eric_plt.xml","stlevamf","385","363.409389296014",TRUE
"Wheat_Eric_plt.xml","stlevdrp","965","910.779728005374",TRUE
"Wheat_Eric_plt.xml","stamflax","535","490.315663122705",TRUE
"Wheat_Eric_plt.xml","stdrpmat","555","646.49143245936",TRUE
"Wheat_Eric_plt.xml","stdrpdes","500","750",TRUE
"Wheat_Eric_plt.xml","dlaimaxbrut","0.0003064","0.000370442883697464",TRUE
"Wheat_Eric_plt.xml","vlaimax","2.2","2.48862174393899",TRUE
"Wheat_Eric_plt.xml","pentlaimax","5","3",TRUE
"Wheat_Eric_plt.xml","durvieF","155","212.958756271122",TRUE
"Wheat_Eric_plt.xml","ktrou","1.95","1.95",FALSE
"Wheat_Eric_plt.xml","rapforme","3","3",FALSE
"Wheat_Eric_plt.xml","fixmaxveg","30","30",FALSE
"Wheat_Eric_plt.xml","fixmaxgr","9.5","9.5",FALSE
"Wheat_Eric_plt.xml","Vmax2","0.0205","0.00449803576743232",TRUE
"Wheat_Eric_plt.xml","inngrain2","1.18","1.59008658646257",TRUE
"Wheat_Eric_plt.xml","innturgmin","0.28","0.401616603302975",TRUE
"Wheat_Eric_plt.xml","innsen","0.151","0.368868098649106",TRUE
"Wheat_Eric_plt.xml","rsmin","137","92.9393456077861",TRUE
"Wheat_Eric_plt.xml","efcroijuv","2.05","1",TRUE
"Wheat_Eric_plt.xml","efcroiveg","3.24","2.96712792028032",TRUE
"Wheat_Eric_plt.xml","efcroirepro","2.37","3.27100552038514",TRUE
"Wheat_Eric_plt.xml","cgrain","0.01928","0.01928",FALSE
"Wheat_Eric_plt.xml","nbgrmin","2881","2881",FALSE
"Wheat_Eric_plt.xml","vitircarbT","0.000792","0.000792",FALSE
