"plant","parameter","original_value","optimized_value","is_optimized"
"barley-remi_plt.xml","stlevamf","c(380, 380)","c(373.370326796014, 373.370326796014)",TRUE
"barley-remi_plt.xml","stlevdrp","c(650, 850)","c(864.295353005374, 864.295353005374)",TRUE
"barley-remi_plt.xml","stamflax","c(240, 300)","c(240, 300)",FALSE
"barley-remi_plt.xml","stdrpmat","c(800, 730)","c(731.35471370936, 731.35471370936)",TRUE
"barley-remi_plt.xml","stdrpdes","c(700, 500)","c(700, 500)",FALSE
"barley-remi_plt.xml","dlaimaxbrut","0.00028","0.000338080520642136",TRUE
"barley-remi_plt.xml","vlaimax","2","1.94439881622213",TRUE
"barley-remi_plt.xml","pentlaimax","6","3",TRUE
"barley-remi_plt.xml","durvieF","c(200, 155)","c(154.982795539711, 154.982795539711)",TRUE
"barley-remi_plt.xml","extin","0.5","0.760093030699396",TRUE
"barley-remi_plt.xml","fixmaxveg","30","30",FALSE
"barley-remi_plt.xml","fixmaxgr","9.5","9.5",FALSE
"barley-remi_plt.xml","Vmax2","0.0205","0.004",TRUE
"barley-remi_plt.xml","inngrain2","1.18","1.4969564933862",TRUE
"barley-remi_plt.xml","innturgmin","0.28","0.770743307430441",TRUE
"barley-remi_plt.xml","innsen","0.151","0.782552938536184",TRUE
"barley-remi_plt.xml","rsmin","137","293.336147044714",TRUE
"barley-remi_plt.xml","efcroijuv","2.05","1.19006832640255",TRUE
"barley-remi_plt.xml","efcroiveg","3.24","4.5",TRUE
"barley-remi_plt.xml","efcroirepro","2.37","4.5",TRUE
"barley-remi_plt.xml","cgrain","0.01928","0.138116003309842",TRUE
"barley-remi_plt.xml","nbgrmin","2881","1540.42755463826",TRUE
"barley-remi_plt.xml","vitircarbT","0.000792","0.000776034700740898",TRUE
"barley-remi_plt.xml","vitirazo","0.01842","0.0182900819961669",TRUE
"pea-remi_plt.xml","stlevamf","310","310",FALSE
"pea-remi_plt.xml","stlevdrp","880","846.033634255374",TRUE
"pea-remi_plt.xml","stamflax","430","416.096913122705",TRUE
"pea-remi_plt.xml","stdrpmat","720","731.35471370936",TRUE
"pea-remi_plt.xml","stdrpdes","490","490",FALSE
"pea-remi_plt.xml","dlaimaxbrut","0.00028","0.000404491699260507",TRUE
"pea-remi_plt.xml","vlaimax","2.2","2.44072993912165",TRUE
"pea-remi_plt.xml","pentlaimax","5.5","2.99726962509181",TRUE
"pea-remi_plt.xml","durvieF","137","139.235725227211",TRUE
"pea-remi_plt.xml","extin","0.85","0.6",TRUE
"pea-remi_plt.xml","fixmaxveg","22","20.8407062466722",TRUE
"pea-remi_plt.xml","fixmaxgr","18","34.5896495303272",TRUE
"pea-remi_plt.xml","Vmax2","0.0085","0.0062046383305004",TRUE
"pea-remi_plt.xml","inngrain2","1.28","1.6",TRUE
"pea-remi_plt.xml","innturgmin","0.525","0.242377163196022",TRUE
"pea-remi_plt.xml","innsen","0.417","0.790217691017564",TRUE
"pea-remi_plt.xml","rsmin","102","82.4060690102582",TRUE
"pea-remi_plt.xml","efcroijuv","2","1.78777751133054",TRUE
"pea-remi_plt.xml","efcroiveg","3.2","2.93722523013477",TRUE
